age,gender,height,weight,goal_weight,goal,activity,workout_days,sleep,water,target_calories,workout_intensity
28,male,176.2,76.8,81.9,muscle gain,very active,4,6.7,2.76,3485,High
24,male,178.7,86.0,73.9,fat loss,lightly active,2,7.2,3.54,2135,Moderate
69,male,170.2,86.8,86.8,endurance,extremely active,6,6.9,3.12,3217,High
22,female,159.0,50.8,53.0,muscle gain,lightly active,4,8.0,2.77,1874,High
54,male,174.9,64.7,64.7,endurance,very active,3,8.9,2.53,2434,High
54,male,163.9,76.8,76.8,maintenance,very active,2,7.0,2.77,2740,High
49,male,166.9,69.1,64.9,fat loss,extremely active,5,6.3,2.82,2054,High
65,female,159.8,72.8,81.7,muscle gain,extremely active,1,5.3,3.41,2667,High
16,male,180.3,103.7,109.6,muscle gain,moderately active,1,7.8,2.49,3638,High
32,male,176.7,58.5,58.5,maintenance,lightly active,4,5.9,2.68,2207,Moderate
25,male,179.3,108.3,116.8,muscle gain,moderately active,3,9.8,2.21,3423,High
47,female,168.3,66.7,66.7,recomposition,very active,2,10.0,2.58,2045,High
50,female,166.7,64.5,64.5,recomposition,extremely active,3,6.7,2.32,2377,High
64,female,176.2,63.1,59.0,fat loss,sedentary,5,5.0,1.67,1189,Low
36,male,155.5,88.6,88.6,maintenance,sedentary,3,7.8,3.11,1775,Low
28,male,183.6,103.3,103.3,maintenance,moderately active,4,9.5,3.54,3169,High
65,female,162.9,86.1,92.9,muscle gain,moderately active,1,5.4,2.47,2681,Moderate
52,female,173.8,56.5,56.5,recomposition,extremely active,5,9.3,2.73,2294,High
57,female,163.0,64.4,72.7,muscle gain,lightly active,1,4.8,3.1,1741,Low
40,male,182.3,56.3,56.3,endurance,sedentary,2,5.3,2.4,1953,Low
40,male,197.5,70.7,70.7,maintenance,sedentary,2,7.4,2.63,2219,Low
37,female,157.3,56.9,60.4,muscle gain,extremely active,3,8.2,2.35,2301,High
56,female,166.7,80.7,80.7,recomposition,very active,2,6.9,2.12,2267,High
27,male,162.3,107.8,107.8,recomposition,extremely active,5,7.5,2.87,3818,High
68,female,161.7,65.9,65.9,maintenance,lightly active,3,8.3,2.86,1460,Low
25,female,167.0,89.4,89.4,recomposition,sedentary,1,8.5,3.15,1851,Low
40,male,175.9,106.7,118.0,muscle gain,moderately active,3,6.3,2.5,3378,Moderate
32,female,164.1,77.4,77.4,endurance,sedentary,1,6.0,1.66,1817,Low
50,male,180.5,84.6,84.6,recomposition,sedentary,2,8.3,3.28,2134,Low
52,male,164.9,83.2,95.7,muscle gain,extremely active,4,7.5,1.99,3672,High
65,female,164.1,66.5,66.5,endurance,lightly active,4,7.7,1.97,1708,Moderate
58,female,158.8,95.6,95.6,endurance,sedentary,4,6.2,2.13,1772,Low
29,male,165.2,82.1,78.3,fat loss,lightly active,3,7.8,1.28,2029,Low
27,female,172.1,70.7,70.7,recomposition,lightly active,6,5.7,2.35,2032,High
63,male,174.5,73.5,73.5,maintenance,extremely active,1,7.3,2.93,2877,High
42,female,157.5,70.0,70.0,recomposition,very active,3,7.1,2.2,2237,High
21,male,183.5,85.1,93.8,muscle gain,moderately active,2,7.1,3.44,3423,Moderate
60,female,167.5,64.4,67.4,muscle gain,moderately active,1,7.9,3.39,2023,Moderate
51,female,167.4,40.6,43.2,muscle gain,very active,4,5.8,3.12,1931,High
17,female,163.1,74.7,67.1,fat loss,sedentary,1,7.8,1.15,1460,Low
58,female,164.1,54.0,54.0,endurance,moderately active,4,7.0,3.5,1604,High
48,male,178.1,95.5,104.5,muscle gain,lightly active,6,6.1,2.33,2765,High
49,female,165.4,68.0,68.0,endurance,sedentary,5,5.4,3.67,1569,Low
62,male,173.6,96.2,102.9,muscle gain,moderately active,5,9.3,2.08,3055,High
42,female,170.7,55.7,60.8,muscle gain,very active,2,6.9,2.4,2257,High
40,female,163.4,61.0,61.0,endurance,very active,4,6.6,2.56,2360,High
49,male,175.0,82.2,90.0,muscle gain,sedentary,4,5.6,1.85,2282,Low
26,female,162.0,48.7,48.7,recomposition,lightly active,3,8.3,1.37,1569,Moderate
24,female,168.3,82.4,71.5,fat loss,lightly active,3,8.2,0.82,1804,Moderate
61,male,171.1,91.9,91.9,endurance,sedentary,1,8.0,4.57,2203,Low
27,male,165.2,93.9,93.9,recomposition,moderately active,6,6.9,1.33,2673,High
43,male,169.7,61.1,61.1,recomposition,moderately active,6,7.9,1.34,2157,High
30,male,185.5,58.7,50.6,fat loss,very active,5,6.0,2.9,2120,High
28,male,173.6,72.5,72.5,endurance,very active,4,7.3,1.5,2908,High
48,female,163.7,72.1,72.1,maintenance,extremely active,1,6.9,1.37,2794,High
59,female,160.2,62.8,70.2,muscle gain,moderately active,4,7.3,0.5,2012,High
39,male,179.0,69.2,61.6,fat loss,lightly active,6,4.8,2.7,1782,Moderate
23,female,165.1,77.5,73.3,fat loss,moderately active,1,9.2,1.75,1889,Moderate
29,female,153.9,55.7,55.7,recomposition,very active,3,8.9,2.95,2032,High
24,male,176.3,69.5,76.8,muscle gain,lightly active,6,5.6,2.45,2506,High
63,female,160.9,40.0,40.0,endurance,moderately active,6,7.7,2.56,1472,High
33,female,162.0,42.9,47.8,muscle gain,extremely active,3,5.2,2.18,2507,High
36,female,155.1,75.3,68.8,fat loss,very active,2,7.1,2.31,1736,High
19,female,168.5,62.6,62.6,endurance,very active,2,4.4,1.87,2607,High
40,female,160.1,56.9,56.9,recomposition,extremely active,3,6.6,1.94,2074,High
65,male,168.2,63.5,63.5,maintenance,sedentary,2,6.4,1.73,1442,Low
38,female,165.0,62.9,62.9,endurance,moderately active,4,8.4,3.56,2120,High
51,female,162.1,55.1,55.1,recomposition,lightly active,1,9.0,2.22,1396,Low
25,male,186.3,82.3,71.6,fat loss,lightly active,1,9.0,0.91,1890,Moderate
23,female,156.5,42.4,42.4,maintenance,very active,1,8.4,2.68,2245,High
55,male,165.3,81.8,81.8,endurance,very active,5,7.1,1.94,2957,High
19,male,176.6,88.9,88.9,recomposition,moderately active,6,7.5,2.47,2897,High
40,male,174.6,102.1,102.1,recomposition,moderately active,1,7.5,2.31,2814,Low
33,female,154.3,62.4,54.8,fat loss,moderately active,6,5.6,3.54,1453,High
16,male,179.2,72.4,72.4,maintenance,extremely active,1,8.4,2.23,3328,High
44,male,154.1,77.1,68.7,fat loss,sedentary,1,7.8,3.07,1427,Moderate
68,male,178.8,84.1,84.1,recomposition,moderately active,2,7.9,3.0,2115,Low
19,female,152.8,69.2,73.1,muscle gain,sedentary,2,4.3,1.54,2070,Low
60,female,169.8,62.2,67.2,muscle gain,extremely active,6,7.5,2.63,2587,High
45,male,173.7,64.2,64.2,maintenance,lightly active,1,8.2,1.97,1969,Low
55,male,177.9,85.6,77.7,fat loss,sedentary,6,7.0,1.65,1642,Moderate
21,female,163.2,88.7,88.7,recomposition,extremely active,6,6.4,1.66,2717,High
62,male,179.9,78.0,78.0,maintenance,very active,3,5.4,3.07,2604,Moderate
16,female,161.5,60.8,60.8,maintenance,extremely active,5,5.3,4.35,2856,High
64,male,175.3,60.4,60.4,recomposition,lightly active,4,7.2,1.94,1752,Moderate
51,female,155.0,60.8,60.8,recomposition,lightly active,6,6.7,2.65,1515,Moderate
34,male,168.1,62.2,62.2,endurance,very active,2,6.7,2.72,2748,High
16,male,182.2,82.1,78.1,fat loss,extremely active,6,8.8,2.13,2835,High
48,female,150.5,55.0,55.0,maintenance,extremely active,3,5.5,3.49,2003,High
20,male,182.5,82.4,79.8,fat loss,lightly active,6,6.6,4.04,2337,Moderate
48,female,155.1,68.6,77.5,muscle gain,very active,6,9.0,2.08,2316,High
57,female,164.6,40.0,40.0,maintenance,extremely active,6,6.6,3.71,1767,High
30,female,162.9,66.7,61.5,fat loss,very active,5,7.1,2.12,1952,High
28,female,168.2,55.7,55.7,maintenance,very active,3,6.8,1.82,2081,High
27,female,170.5,78.1,78.1,endurance,sedentary,5,7.8,2.4,2074,High
28,male,165.6,40.0,35.9,fat loss,very active,2,4.5,3.11,1772,High
22,male,178.5,78.9,88.4,muscle gain,sedentary,2,6.8,2.43,2437,Low
29,male,175.6,64.9,68.3,muscle gain,moderately active,5,7.1,3.02,2838,High
51,female,182.8,53.2,53.2,endurance,moderately active,5,5.8,2.66,2006,High
32,male,181.0,100.6,100.6,recomposition,sedentary,2,7.4,3.45,2384,Low
58,male,159.6,74.8,65.2,fat loss,moderately active,6,7.9,2.87,1882,Moderate
60,male,177.4,106.5,106.5,recomposition,lightly active,5,7.5,3.57,2530,Moderate
57,male,186.3,60.3,54.9,fat loss,sedentary,6,9.1,1.9,1298,Moderate
45,male,185.1,64.8,64.8,recomposition,very active,3,6.5,2.36,2543,High
33,male,177.7,90.7,94.1,muscle gain,very active,4,7.6,2.5,3565,High
66,female,148.4,44.8,44.8,recomposition,extremely active,4,7.6,1.9,1763,High
27,female,174.1,56.0,56.0,maintenance,very active,1,6.7,1.8,2135,Moderate
41,female,161.6,43.2,43.2,recomposition,sedentary,2,8.4,2.77,1180,Low
40,male,178.8,78.0,86.5,muscle gain,sedentary,6,7.3,2.97,2437,Moderate
56,female,148.8,65.9,65.9,maintenance,extremely active,5,5.6,2.58,2058,High
45,male,180.3,82.5,82.5,endurance,sedentary,4,7.9,3.24,2096,Moderate
59,female,159.1,68.8,68.8,endurance,lightly active,1,6.4,1.73,1948,Low
65,female,167.0,74.1,74.1,maintenance,lightly active,1,6.6,2.23,1825,Low
37,female,165.2,63.6,63.6,endurance,sedentary,4,6.7,1.67,1752,Moderate
63,male,165.6,74.5,68.8,fat loss,very active,1,7.9,2.6,2117,High
25,male,180.4,72.7,72.7,recomposition,very active,1,8.3,2.84,2862,High
65,female,162.6,73.3,73.3,recomposition,extremely active,4,6.8,3.44,2293,High
25,male,181.1,89.7,97.1,muscle gain,moderately active,6,6.7,1.68,3490,High
61,male,171.3,53.4,57.6,muscle gain,moderately active,6,4.5,2.76,2150,High
37,male,180.8,52.8,52.8,maintenance,lightly active,3,6.1,3.51,2244,Moderate
68,male,173.9,68.4,68.4,recomposition,sedentary,6,5.9,1.8,1584,Low
22,male,169.9,83.2,83.2,recomposition,extremely active,4,7.4,1.63,3427,High
41,male,172.2,79.5,79.5,recomposition,extremely active,6,6.9,1.47,3108,High
64,female,181.3,84.6,84.6,recomposition,extremely active,2,5.9,2.94,2615,High
18,female,174.5,63.9,63.9,endurance,sedentary,4,7.2,1.99,1917,Moderate
30,female,145.0,74.0,74.0,endurance,moderately active,6,6.9,2.83,2190,High
20,male,179.5,90.8,90.8,maintenance,very active,6,4.0,2.35,2984,High
33,female,169.5,48.3,43.0,fat loss,extremely active,6,8.3,3.76,1839,High
37,male,167.6,96.0,99.2,muscle gain,moderately active,1,8.2,3.05,2935,Moderate
49,male,173.4,56.9,50.6,fat loss,sedentary,4,6.7,1.94,1398,Low
29,male,182.7,78.8,78.8,maintenance,extremely active,1,7.4,2.29,3372,High
24,male,171.4,81.9,81.9,endurance,sedentary,3,6.6,3.05,2355,Moderate
25,female,155.0,54.3,54.3,maintenance,very active,1,5.1,1.75,2026,Moderate
66,male,176.1,56.0,56.0,endurance,lightly active,5,9.6,3.33,1778,Low
67,female,162.6,49.1,49.1,maintenance,sedentary,5,7.9,2.32,1135,Low
27,male,186.5,85.6,85.6,maintenance,moderately active,1,8.1,3.07,3287,Low
26,female,170.9,62.6,59.4,fat loss,lightly active,6,6.7,2.36,1824,Low
18,male,179.5,96.6,96.6,recomposition,moderately active,6,8.4,2.13,3303,High
67,male,180.0,90.7,97.5,muscle gain,sedentary,6,5.4,2.02,2076,Moderate
54,female,159.0,76.3,76.3,maintenance,very active,3,6.7,3.71,2098,High
57,female,178.0,67.7,67.7,endurance,lightly active,6,7.9,2.29,1816,High
31,male,167.4,77.2,81.2,muscle gain,sedentary,6,6.2,4.66,2346,High
50,female,147.9,56.6,56.6,endurance,lightly active,4,8.1,2.61,1755,Moderate
19,male,180.6,91.1,91.1,endurance,sedentary,3,7.4,1.9,2590,Low
52,female,166.2,73.3,68.1,fat loss,moderately active,5,7.3,1.39,1694,High
47,female,168.5,64.4,66.6,muscle gain,moderately active,1,6.1,3.36,2133,Moderate
33,male,156.9,93.5,93.5,endurance,very active,3,7.5,2.36,3125,High
54,female,172.8,65.9,65.9,maintenance,extremely active,1,9.3,3.08,2498,High
50,male,168.7,97.3,97.3,recomposition,sedentary,5,7.2,4.13,2140,Moderate
39,male,189.4,112.6,112.6,endurance,sedentary,1,7.7,2.97,2591,Low
26,male,164.9,89.8,81.2,fat loss,moderately active,5,7.8,2.74,2290,High
17,male,169.3,73.5,73.5,recomposition,sedentary,4,5.6,3.36,1985,Low
66,female,158.4,58.8,58.8,endurance,extremely active,3,6.8,3.06,2182,High
31,male,177.5,86.6,86.6,maintenance,extremely active,4,6.8,1.62,3386,High
32,male,167.3,88.6,88.6,endurance,moderately active,1,4.5,3.43,2912,High
52,female,159.7,80.0,80.0,recomposition,extremely active,5,7.9,2.47,2471,High
29,male,165.4,56.4,56.4,recomposition,moderately active,2,5.9,3.58,2046,Moderate
36,female,168.1,58.2,53.4,fat loss,moderately active,6,7.8,2.85,1687,High
54,male,180.0,105.9,105.9,recomposition,very active,6,6.1,3.33,3442,High
48,female,154.1,69.7,69.7,endurance,moderately active,4,9.5,2.34,2070,High
51,female,151.8,67.4,72.7,muscle gain,very active,4,6.7,1.44,2325,High
16,female,164.5,78.3,71.3,fat loss,lightly active,6,9.3,2.89,1806,High
40,male,166.0,80.1,80.1,maintenance,moderately active,3,6.8,3.18,2576,High
41,male,172.7,89.8,89.8,endurance,extremely active,3,6.9,2.11,3788,High
50,female,159.7,48.0,48.0,recomposition,extremely active,6,8.9,2.36,1938,High
24,male,178.3,90.1,90.1,endurance,sedentary,3,5.9,0.95,2479,Moderate
24,female,172.7,80.3,80.3,maintenance,sedentary,3,7.1,2.39,2122,Low
57,male,181.9,92.6,92.6,maintenance,moderately active,1,7.6,1.62,2974,Low
52,female,163.6,46.8,52.9,muscle gain,sedentary,2,7.5,2.86,1424,Low
59,female,169.7,78.5,78.5,endurance,very active,2,7.1,2.73,2680,High
30,male,174.7,91.7,91.7,recomposition,moderately active,5,6.9,2.51,2569,High
69,male,172.7,106.0,106.0,recomposition,extremely active,4,8.0,3.43,3209,High
30,female,162.7,67.8,67.8,endurance,sedentary,3,7.2,2.67,1831,Moderate
51,male,171.1,101.0,101.0,endurance,sedentary,6,8.2,2.64,2517,High
24,female,164.2,85.7,85.7,endurance,lightly active,3,7.5,2.73,2209,Low
65,male,177.2,79.6,79.6,maintenance,sedentary,3,7.8,2.09,1897,Low
33,female,166.9,86.6,75.5,fat loss,sedentary,5,8.4,3.19,1520,Low
59,female,154.7,59.7,59.7,maintenance,very active,2,6.6,1.86,1901,Moderate
33,male,192.1,103.0,103.0,maintenance,very active,3,8.3,2.8,3311,High
58,female,172.7,70.2,70.2,endurance,very active,5,6.8,3.35,2482,High
40,male,170.0,96.4,92.0,fat loss,moderately active,2,5.3,1.78,2097,Moderate
19,female,172.0,58.1,58.1,endurance,lightly active,3,6.6,1.56,2159,High
26,male,173.5,79.5,79.5,recomposition,extremely active,1,6.1,1.77,3423,High
52,male,176.0,81.8,70.4,fat loss,extremely active,5,7.5,3.77,2431,High
26,male,170.1,90.3,102.6,muscle gain,lightly active,6,6.7,2.07,2619,High
30,male,178.1,68.2,59.7,fat loss,extremely active,5,7.2,1.66,2503,High
45,male,185.2,81.5,81.5,endurance,very active,4,8.2,2.76,3075,High
29,female,151.0,81.4,81.4,recomposition,lightly active,6,8.8,0.59,1872,Moderate
22,male,167.1,73.0,73.0,recomposition,lightly active,6,7.4,1.83,2193,High
49,female,168.1,66.2,66.2,maintenance,moderately active,3,8.3,3.49,1912,Moderate
53,male,171.9,87.3,87.3,maintenance,sedentary,4,6.8,1.83,2226,Low
55,male,189.0,77.7,71.3,fat loss,lightly active,6,5.1,2.32,1786,Moderate
66,female,164.5,69.3,69.3,recomposition,very active,2,5.6,2.71,2129,Moderate
22,female,165.8,47.6,43.1,fat loss,moderately active,5,6.8,2.71,1457,Moderate
39,male,173.1,87.8,92.9,muscle gain,sedentary,3,8.0,2.13,2387,Moderate
28,male,173.0,89.9,89.9,endurance,sedentary,1,6.8,2.88,2388,Low
64,female,163.6,40.0,36.9,fat loss,very active,3,8.4,3.51,1310,Moderate
45,female,175.2,70.5,70.5,endurance,extremely active,4,9.2,1.76,2778,High
21,female,164.0,64.9,62.4,fat loss,very active,5,5.9,2.16,1886,High
53,male,184.0,104.8,104.8,maintenance,sedentary,1,9.5,2.43,2269,Low
18,male,173.5,81.9,81.9,maintenance,very active,4,5.0,2.99,3010,High
30,female,161.5,72.6,64.2,fat loss,lightly active,4,9.2,2.52,1598,Moderate
54,female,160.0,70.7,70.7,endurance,moderately active,4,7.0,2.41,2305,High
43,male,181.2,85.4,85.4,endurance,moderately active,5,6.7,1.42,2954,High
57,male,164.7,64.6,68.7,muscle gain,extremely active,5,7.0,1.71,3076,High
46,male,180.2,80.9,84.3,muscle gain,extremely active,3,6.0,2.63,3876,High
61,female,157.5,48.5,48.5,recomposition,sedentary,2,8.8,2.14,1113,Low
46,male,167.6,67.7,77.1,muscle gain,sedentary,6,6.2,2.26,1797,High
19,male,160.4,75.8,65.8,fat loss,extremely active,6,6.3,2.46,2540,High
19,male,174.0,47.9,47.9,recomposition,lightly active,1,5.3,4.14,2028,Moderate
57,female,148.9,71.7,74.4,muscle gain,sedentary,3,6.1,2.15,1810,Low
18,male,186.7,91.0,91.0,maintenance,sedentary,5,6.2,3.47,2250,Low
36,male,177.5,84.9,84.9,recomposition,moderately active,4,6.1,3.42,2799,High
16,male,188.7,65.0,65.0,maintenance,extremely active,6,6.8,3.06,3386,High
32,male,174.7,87.7,87.7,endurance,extremely active,2,5.7,1.91,3534,High
48,female,153.2,78.6,78.6,recomposition,very active,6,8.9,2.6,2062,High
25,male,171.8,90.1,90.1,endurance,lightly active,2,6.8,2.23,2584,Moderate
41,male,171.4,78.4,78.4,endurance,very active,1,7.4,3.91,3101,High
69,female,147.1,74.7,74.7,recomposition,extremely active,5,8.0,2.79,2248,High
19,male,160.6,78.7,78.7,maintenance,moderately active,6,9.4,2.35,2205,High
19,female,160.2,73.7,73.7,maintenance,moderately active,3,8.1,3.75,2368,Moderate
30,female,159.1,57.5,57.5,recomposition,moderately active,1,6.7,2.25,1789,Moderate
60,male,169.4,83.2,71.9,fat loss,extremely active,6,5.7,2.89,2356,High
37,female,162.1,60.9,60.9,maintenance,very active,1,7.4,2.99,2256,High
50,male,173.6,66.5,76.0,muscle gain,sedentary,4,8.3,2.74,2256,Low
17,female,150.0,73.2,73.2,maintenance,extremely active,1,7.2,2.43,2588,High
55,male,189.7,71.6,71.6,endurance,moderately active,4,7.1,3.09,2640,High
19,female,161.3,105.6,105.6,maintenance,moderately active,1,7.3,2.06,2538,Moderate
54,female,157.9,68.6,68.6,maintenance,sedentary,3,4.8,3.28,1529,Low
23,female,155.1,87.5,87.5,maintenance,very active,3,7.2,2.3,2593,High
62,male,181.9,92.8,102.7,muscle gain,sedentary,6,7.9,3.44,2589,Moderate
31,male,177.0,68.7,68.7,recomposition,sedentary,5,6.9,3.23,1914,Moderate
25,male,170.5,78.8,88.6,muscle gain,very active,6,8.3,2.88,3292,High
34,male,175.5,58.8,58.8,endurance,lightly active,4,8.4,2.44,2158,High
16,female,159.3,75.0,64.3,fat loss,very active,2,6.4,3.27,2122,High
24,male,186.3,83.2,87.9,muscle gain,lightly active,3,7.5,2.9,3017,High
48,female,158.7,51.5,51.5,recomposition,very active,4,7.1,0.5,1685,High
32,female,163.1,56.7,53.6,fat loss,very active,4,4.6,1.93,1731,High
35,male,156.3,77.3,77.3,maintenance,very active,6,6.8,2.62,2725,High
59,male,174.5,62.1,68.5,muscle gain,very active,6,5.8,2.7,2781,High
22,female,162.4,49.8,49.8,endurance,very active,1,7.2,3.0,2426,High
37,male,184.3,100.7,91.2,fat loss,lightly active,5,7.8,3.58,1991,Moderate
26,male,162.1,75.5,75.5,maintenance,moderately active,2,6.7,2.91,2693,Moderate
42,female,163.0,70.3,70.3,maintenance,sedentary,4,5.9,1.04,1656,Low
33,female,156.3,74.9,74.9,endurance,lightly active,6,7.3,2.64,1961,High
18,male,187.0,57.4,57.4,maintenance,moderately active,6,9.9,3.35,2694,High
19,male,176.7,61.9,54.5,fat loss,very active,3,4.4,2.58,2202,High
62,male,169.6,89.4,89.4,endurance,extremely active,1,7.3,2.64,2932,High
19,female,154.5,80.1,74.5,fat loss,very active,6,6.3,2.15,1655,High
58,female,172.3,60.9,60.9,recomposition,sedentary,6,6.5,3.16,1305,Low
65,female,169.4,62.9,65.6,muscle gain,lightly active,3,6.9,2.25,1790,Moderate
41,female,149.5,48.4,45.7,fat loss,moderately active,1,6.6,2.91,1318,Moderate
32,female,152.7,67.6,65.1,fat loss,moderately active,4,7.7,2.8,1682,High
57,male,161.4,66.9,66.9,endurance,extremely active,5,6.7,2.54,2745,High
69,male,172.3,91.8,91.8,endurance,sedentary,3,4.4,2.84,1909,Low
22,female,173.5,54.1,54.1,recomposition,moderately active,1,8.5,2.64,1949,Moderate
68,female,167.3,49.5,49.5,endurance,very active,3,8.4,3.39,1858,High
66,female,165.1,78.2,78.2,endurance,moderately active,4,6.3,2.97,2377,High
23,male,175.5,89.7,99.4,muscle gain,lightly active,6,7.1,3.23,2998,High
18,male,187.0,87.6,87.6,recomposition,sedentary,5,8.5,1.97,2012,Moderate
54,male,173.4,43.3,43.3,maintenance,very active,5,8.2,1.92,2118,High
20,male,173.8,83.6,75.0,fat loss,very active,3,8.6,2.54,2627,High
48,female,166.0,62.3,62.3,maintenance,very active,6,7.4,3.02,2175,High
19,female,157.2,72.5,67.6,fat loss,extremely active,2,7.9,2.87,1991,High
53,male,173.5,78.5,78.5,recomposition,extremely active,2,8.7,1.97,3048,High
28,male,171.8,75.1,82.7,muscle gain,sedentary,6,6.6,3.05,2321,Moderate
21,female,161.5,40.0,35.3,fat loss,moderately active,6,7.5,2.06,1404,High
19,male,180.9,90.1,90.1,recomposition,lightly active,5,4.4,2.97,2414,High
